,label,gini_c,a_c,m_20,n_centroids,reg_ratio,percentile,intensity_r
176,1.0,0.7148503915796954,0.1026215362044554,-3.459140939298041,2.0,0.0072992700729927005,0.1647294589178357,0.0034318141270403882
177,1.0,0.7047497183455319,0.14047043677786672,-4.413623139593542,1.0,0.0,0.95,0.0
178,1.0,0.807572774362323,0.15978516567134965,-4.658633054549505,1.0,0.0,0.95,0.0
179,3.0,0.6978508671219231,0.2111672357909034,-4.082824962649403,2.0,0.5,0.95,0.4987364944720064
180,1.0,0.7823400535114201,0.16071419705124665,-4.353600585016088,1.0,0.0,0.95,0.0
181,1.0,0.7326039665604029,0.07169253295054265,-4.406479254924716,2.0,1.0,0.8988977955911823,0.899043524597258
182,1.0,0.8477980987089887,0.10492824355955085,-5.067348865075453,2.0,1.0,0.7064128256513026,0.7071761822277975
183,1.0,0.8944655820824444,0.19290070093246975,-4.012220007257289,1.0,0.0,0.95,0.0
184,3.0,0.6462170018030288,0.20934240980913377,-3.408027108126632,3.0,1.0,0.95,0.5008715277949093
185,1.0,0.68531014540096,0.06403900606089862,-3.8434675334867032,1.0,0.0,0.95,0.0
186,1.0,0.7704698313309131,0.1067426800156196,-3.9730231148837056,1.0,0.0,0.95,0.0
187,1.0,0.7662771417003529,0.16651370776258692,-5.0153186334160775,1.0,0.0,0.95,0.0
188,2.0,0.7953403741604721,0.15336159343067307,-4.61286778557226,2.0,0.5,0.8171342685370742,0.43853226462974754
189,3.0,0.7649131148086914,0.19987149265409343,-3.331234131189706,3.0,1.0,0.5292585170340681,0.13401753483135034
190,1.0,0.6932964324535817,0.09663025232110958,-4.514802734551972,2.0,1.0,0.7524048096192385,0.7539967458470407
191,1.0,0.692220294683513,0.13818248639320702,-4.26377634834592,1.0,0.0,0.95,0.0
192,3.0,0.7326836949306464,0.23620317062636118,-2.3169739386553454,4.0,1.0,0.25501002004008017,0.05411682591816578
193,2.0,0.6718689765362214,0.2956109927468474,-2.715059740591267,2.0,0.5,0.8512024048096192,0.4389742507157634
194,3.0,0.7278842332304716,0.31972090239472256,-2.726596319738045,3.0,1.0,0.43557114228456917,0.08795859165107645
195,1.0,0.6585237091050818,0.04943050635446923,-3.9829350498993326,1.0,0.0,0.95,0.0
196,1.0,0.8317738983127175,0.2368350683616298,-5.338468543099214,1.0,0.0,0.95,0.0
197,3.0,0.6813951885594616,0.3555304436340627,-2.4658720571040105,4.0,1.0,0.3163326653306613,0.017630191331464647
198,1.0,0.7035647640314028,0.17567309560019984,-4.067971581699609,1.0,0.0,0.95,0.0
199,1.0,0.8993892069618251,0.18938148443675798,-4.255772133237792,1.0,0.0,0.95,0.0
200,2.0,0.7909664881494749,0.3402679193791176,-3.2712902005379205,2.0,0.03333333333333333,0.19709418837675352,0.018152669189821762
201,2.0,0.6324148245596083,0.2213352156811977,-3.0227266950098497,4.0,1.0,0.7847695390781563,0.7848596292432379
202,3.0,0.735314859853951,0.32981695989388,-2.8503304029623866,3.0,1.0,0.16813627254509017,0.005684200913830791
203,3.0,0.7601030886203343,0.3156903449487609,-3.547638688125355,2.0,1.0,0.95,0.9994804510925518
204,1.0,0.7776002237694633,0.16851016677552058,-4.464361386636428,1.0,0.0,0.95,0.0
205,1.0,0.7700243048901995,0.17229814035552168,-4.014935243886955,1.0,0.0,0.95,0.0
206,3.0,0.6635409306030754,0.27944421155783034,-2.663444735293154,3.0,1.0,0.32314629258517036,0.08280811658741605
207,3.0,0.637531097700453,0.30448151311978383,-2.5886172244394556,3.0,1.0,0.32655310621242484,0.020174456381234086
208,1.0,0.8694491582904872,0.20212649993528,-4.600007565608507,1.0,0.0,0.95,0.0
209,1.0,0.8545518022596955,0.04961538996519218,-4.212992511543724,2.0,1.0,0.9278557114228456,0.9292982789397959
210,1.0,0.8224573720846412,0.07179630117680921,-4.13231008326629,2.0,1.0,0.8971943887775551,0.897942768869358
211,1.0,0.7998125458517812,0.135629847282614,-4.840511252511335,1.0,0.0,0.95,0.0
212,1.0,0.8516442746153237,0.15188402527845105,-4.898596866885656,1.0,0.0,0.95,0.0
213,1.0,0.7882323369601396,0.18564511982800247,-4.907032468045443,1.0,0.0,0.95,0.0
214,3.0,0.6426664942852305,0.27810068167180035,-2.2886036095620934,3.0,1.0,0.39809619238476956,0.031213039325453693
215,1.0,0.8836198951831501,0.24511266486756347,-5.316761447812655,2.0,0.5,0.4526052104208417,0.2651254836689966
216,1.0,0.7340356855750156,0.1547652388185662,-4.441370654157073,1.0,0.0,0.95,0.0
217,1.0,0.8313144022977336,0.14828107487258332,-4.370369178966785,1.0,0.0,0.95,0.0
218,1.0,0.8506430589383941,0.11662773174901865,-3.948756248007227,2.0,0.3333333333333333,0.95,0.32697094113437625
219,3.0,0.7046423029654291,0.38005920526310577,-2.7121508779087518,2.0,0.1111111111111111,0.8086172344689379,0.10035557577078794
220,2.0,0.7713760641311692,0.12888233190550685,-4.560190450643258,1.0,0.0,0.95,0.0
221,1.0,0.7502427664022508,0.14668800727026315,-4.175542226280879,1.0,0.0,0.95,0.0
222,3.0,0.7208576878129762,0.24071911169063911,-3.948803962526548,2.0,0.5,0.95,0.4783991469348115
223,1.0,0.9172621655229662,0.1531952944172956,-3.9742885628529496,2.0,0.2,0.783066132264529,0.17565386280488468
224,1.0,0.7204931899589937,0.1838947968902668,-3.7487961152825786,2.0,0.007518796992481203,0.1,0.0031749425035139753
225,1.0,0.6649163166837927,0.11114417701900393,-3.9042616130033934,2.0,0.5,0.8988977955911823,0.4631679179830158
226,1.0,0.6838697668014595,0.14199787269671452,-4.5006079075390115,1.0,0.0,0.95,0.0
227,3.0,0.6271305655783866,0.11504057067284679,-3.308993616203687,2.0,0.1111111111111111,0.5496993987975952,0.07992277446393492
228,3.0,0.6717520762214405,0.33238332367326295,-3.4820663878512708,3.0,1.0,0.22605210420841684,0.022594628502178523
229,1.0,0.7356985835079177,0.05706389787062161,-4.665471034084651,2.0,1.0,0.95,0.986037069054144
230,1.0,0.6979401846038231,0.12935486569670485,-4.473331384135208,1.0,0.0,0.95,0.0
231,1.0,0.7799139989275423,0.0662509277659899,-4.098089920556992,2.0,0.5,0.95,0.4826814401378492
232,1.0,0.8116299407977059,0.1141492598895679,-4.896766586412207,2.0,1.0,0.7489979959919839,0.7499644536291087
233,3.0,0.6486288360341137,0.2650612145884638,-2.5260585930551778,3.0,1.0,0.3452905811623247,0.05428811176142237
